"customer_number","customer_key","full_name","age","age_bracket","customer_tier","total_orders","unique_products","total_items","total_revenue","last_purchase","months_since_last","tenure_months","avg_order_value","avg_monthly_spend"
AW00011066,67,Grace Butler,45,"40s",New comer,2,5,5,81,2013-09-19,7,3,40.50,27.00
AW00011067,68,Caleb Carter,43,"40s",New comer,2,6,6,105,2014-01-12,4,4,52.50,26.25
AW00011068,69,Tiffany Liang,58,"50+",New comer,3,8,9,113,2013-10-08,7,5,37.67,22.60
AW00011069,70,Carolyn Navarro,58,"50+",VIP,3,3,3,8104,2013-06-04,11,25,2701.33,324.16
AW00011070,71,Willie Raji,64,"50+",VIP,3,9,10,8165,2013-06-26,10,25,2721.67,326.60
AW00011071,72,Linda Serrano,64,"50+",New comer,3,6,7,110,2013-12-01,5,9,36.67,12.22
AW00011072,73,Casey Luo,64,"50+",VIP,3,7,7,8194,2013-06-15,10,26,2731.33,315.15
AW00011073,74,Amy Ye,63,"50+",New comer,3,9,10,192,2013-08-21,8,4,64.00,48.00
AW00011074,75,Levi Arun,63,"50+",New comer,3,7,7,94,2013-05-27,11,2,31.33,47.00
AW00011075,76,Felicia Jimenez,61,"50+",VIP,3,5,5,8068,2013-06-24,10,25,2689.33,322.72
AW00011076,77,Blake Anderson,62,"50+",VIP,3,4,4,8159,2013-06-21,10,26,2719.67,313.81
AW00011077,78,Leah Ye,62,"50+",VIP,3,5,5,8169,2013-06-12,11,25,2723.00,326.76
AW00011078,79,Gina Martin,40,"40s",New comer,17,23,31,912,2014-01-28,3,11,53.65,82.91
AW00011079,80,Donald Gonzalez,55,"50+",New comer,3,5,5,58,2014-01-01,4,9,19.33,6.44
AW00011080,81,Damien Chander,60,"50+",VIP,3,7,7,8204,2013-06-23,10,26,2734.67,315.54
AW00011081,82,Savannah Baker,53,"50+",New comer,2,5,5,104,2013-04-13,0,2,52.00,52.00
AW00011082,83,Angela Butler,53,"50+",New comer,2,6,6,3110,2013-11-06,6,9,1555.00,345.56
AW00011083,84,Alyssa Cox,48,"40s",New comer,2,5,5,3137,2013-11-08,6,10,1568.50,313.70
AW00011084,85,Lucas Phillips,62,"50+",New comer,2,5,5,3078,2013-11-21,5,10,1539.00,307.80
AW00011085,86,Emily Johnson,62,"50+",New comer,2,5,5,129,2014-01-08,4,1,64.50,129.00
AW00011086,87,Ryan Brown,61,"50+",New comer,2,6,6,153,2013-12-21,4,5,76.50,30.60
AW00011087,88,Tamara Liang,62,"50+",New comer,2,4,4,200,2013-08-09,9,5,100.00,40.00
AW00011088,89,Hunter Davis,61,"50+",New comer,2,7,7,3176,2013-11-12,6,9,1588.00,352.89
AW00011089,90,Abigail Price,62,"50+",New comer,2,7,7,3188,2013-11-18,5,10,1594.00,318.80
AW00011090,91,Trevor Bryant,56,"50+",VIP,3,6,6,6703,2013-11-21,5,27,2234.33,248.26
AW00011091,92,Dalton Perez,62,"50+",New comer,28,25,59,1186,2014-01-08,4,11,42.36,107.82
AW00011092,93,Cheryl Diaz,52,"50+",VIP,3,5,5,8110,2013-06-21,10,26,2703.33,311.92
AW00011093,94,Aimee He,46,"40s",VIP,3,7,7,8180,2013-06-08,11,26,2726.67,314.62
AW00011094,95,Cedric Ma,57,"50+",New comer,3,8,8,236,2014-01-11,4,9,78.67,26.22
AW00011095,96,Chad Kumar,57,"50+",VIP,3,7,7,8158,2013-06-25,10,26,2719.33,313.77
AW00011096,97,Andrés Anand,57,"50+",VIP,3,4,4,8063,2013-07-30,9,27,2687.67,298.63
AW00011097,98,Edwin Nara,52,"50+",VIP,3,5,5,8099,2013-07-24,9,27,2699.67,299.96
AW00011098,99,Mallory Rubio,58,"50+",New comer,3,4,4,89,2013-10-16,6,8,29.67,11.13
AW00011099,100,Adam Ross,58,"50+",VIP,3,8,9,8216,2013-07-01,10,26,2738.67,316.00
AW00011100,101,Latasha Navarro,59,"50+",VIP,3,7,7,8172,2013-08-07,9,27,2724.00,302.67
AW00011101,102,Abby Sai,54,"50+",VIP,3,7,7,8262,2013-06-29,10,26,2754.00,317.77
AW00011102,103,Julia Nelson,54,"50+",New comer,3,5,5,103,2013-12-09,5,4,34.33,25.75
AW00011103,104,Cassie Chande,44,"40s",VIP,3,8,8,8182,2013-06-06,11,25,2727.33,327.28
AW00011104,105,Edgar Sara,50,"50+",VIP,3,6,6,8173,2013-06-15,10,25,2724.33,326.92
AW00011105,106,Candace Fernandez,54,"50+",VIP,3,5,5,8096,2013-06-05,11,24,2698.67,337.33
AW00011106,107,Jessie Liu,55,"50+",VIP,3,3,3,8079,2013-06-15,10,24,2693.00,336.63
AW00011107,108,Bianca Lin,49,"40s",VIP,3,6,6,8171,2013-06-21,10,25,2723.67,326.84
AW00011108,109,Kari Alvarez,56,"50+",VIP,3,5,5,8124,2013-06-23,10,25,2708.00,324.96
AW00011109,110,Ruben Kapoor,45,"40s",VIP,3,8,8,8245,2013-06-24,10,25,2748.33,329.80
AW00011110,111,Curtis Yang,57,"50+",VIP,3,5,5,8093,2013-08-20,8,27,2697.67,299.74
AW00011111,112,Meredith Gutierrez,57,"50+",VIP,3,8,8,8137,2013-08-22,8,27,2712.33,301.37
AW00011112,113,Crystal Wang,57,"50+",VIP,3,6,6,8295,2013-09-02,8,27,2765.00,307.22
AW00011113,114,Micheal Blanco,52,"50+",New comer,3,7,7,110,2013-04-21,0,2,36.67,55.00
AW00011114,115,Leslie Moreno,57,"50+",New comer,3,6,7,123,2013-12-26,4,9,41.00,13.67
AW00011115,116,Alvin Cai,57,"50+",New comer,3,6,6,114,2014-01-02,4,10,38.00,11.40
AW00011116,117,Clinton Carlson,46,"40s",New comer,3,7,7,149,2013-10-16,6,7,49.67,21.29
AW00011117,118,April Deng,58,"50+",VIP,3,8,8,8185,2013-06-25,10,25,2728.33,327.40
AW00011118,119,Alvin Zeng,62,"50+",New comer,3,6,8,124,2014-01-26,3,6,41.33,20.67
AW00011119,120,Evan James,84,"50+",New comer,2,4,4,85,2013-11-23,5,9,42.50,9.44
AW00011120,121,Beth Jiménez,83,"50+",VIP,3,10,10,8242,2013-09-19,7,28,2747.33,294.36
AW00011121,122,Orlando Suarez,58,"50+",New comer,3,5,6,58,2013-11-04,6,4,19.33,14.50
AW00011122,123,Byron Vazquez,59,"50+",New comer,3,3,3,43,2013-08-22,8,6,14.33,7.17
AW00011123,124,Philip Alvarez,59,"50+",New comer,3,7,8,150,2014-01-25,3,9,50.00,16.67
AW00011124,125,Ross Jordan,56,"50+",VIP,3,6,6,8129,2013-06-18,10,25,2709.67,325.16
AW00011125,126,Dana Navarro,63,"50+",New comer,3,7,7,79,2013-07-03,10,5,26.33,15.80
AW00011126,127,Shaun Carson,70,"50+",Standard,3,7,8,4971,2013-11-03,6,29,1657.00,171.41
AW00011127,128,Jan Edwards,44,"40s",New comer,2,3,3,44,2013-10-01,7,5,22.00,8.80
AW00011128,129,Samantha Long,43,"40s",New comer,2,7,7,144,2013-08-12,9,1,72.00,144.00
AW00011129,130,Julia Wright,44,"40s",VIP,2,2,2,5873,2013-01-09,4,17,2936.50,345.47
AW00011130,131,Caroline Russell,39,"30s",New comer,1,2,2,37,2013-12-09,5,0,37.00,0
AW00011131,132,Amanda Rivera,39,"30s",New comer,5,9,9,166,2014-01-23,3,3,33.20,55.33
AW00011132,133,Melissa Richardson,39,"30s",New comer,1,6,6,2372,2013-04-09,1,0,2372.00,0
AW00011133,134,Angela Griffin,39,"30s",New comer,1,4,4,72,2013-12-30,4,0,72.00,0
AW00011134,135,Larry Townsend,68,"50+",Standard,3,3,3,4911,2013-11-03,6,30,1637.00,163.70
AW00011135,136,Marcus Harris,40,"40s",New comer,1,3,3,2335,2013-04-18,0,0,2335.00,0
AW00011136,137,Brianna Morgan,41,"40s",New comer,1,3,3,2381,2013-01-03,4,0,2381.00,0
AW00011137,138,Jasmine Taylor,41,"40s",New comer,2,4,5,202,2014-01-20,3,5,101.00,40.40
AW00011138,139,Lauren Davis,41,"40s",New comer,2,4,4,79,2013-12-31,4,3,39.50,26.33
AW00011139,140,Tanya Moreno,75,"50+",New comer,2,3,3,84,2013-10-17,6,1,42.00,84.00
AW00011140,141,Javier Alvarez,42,"40s",New comer,1,2,2,40,2013-03-19,1,0,40.00,0
AW00011141,142,Nicole Ramirez,42,"40s",New comer,2,5,5,114,2013-09-28,7,4,57.00,28.50
AW00011142,143,Eduardo Patterson,42,"40s",New comer,17,23,36,979,2014-01-13,3,11,57.59,89.00
AW00011143,144,Jonathan Henderson,42,"40s",New comer,2,4,5,48,2013-12-19,4,6,24.00,8.00
AW00011144,145,Edward Hernandez,40,"40s",New comer,1,3,3,2400,2013-01-25,3,0,2400.00,0
AW00011145,146,Jasmine Coleman,39,"30s",New comer,1,3,3,2310,2013-01-25,3,0,2310.00,0
AW00011146,147,Karla Goel,80,"50+",New comer,3,6,7,113,2013-09-15,7,7,37.67,16.14
AW00011147,148,Ernest Wu,80,"50+",VIP,3,7,7,8195,2013-10-16,6,29,2731.67,282.59
AW00011148,149,Ross Vazquez,78,"50+",New comer,3,5,6,126,2013-12-03,5,8,42.00,15.75
AW00011149,150,Theodore Gill,78,"50+",New comer,3,4,4,41,2013-11-29,5,5,13.67,8.20
AW00011150,151,Russell Shen,78,"50+",New comer,3,7,8,192,2013-07-15,9,3,64.00,64.00
AW00011151,152,Melinda Gill,77,"50+",VIP,3,6,6,8087,2013-10-20,6,29,2695.67,278.86
AW00011152,153,James Williams,43,"40s",New comer,1,1,1,2295,2013-01-09,4,0,2295.00,0
AW00011153,154,Angela James,43,"40s",New comer,2,5,5,110,2013-03-29,1,0,55.00,0
AW00011154,155,Megan Walker,43,"40s",New comer,1,1,1,2320,2013-01-10,4,0,2320.00,0
AW00011155,156,Hunter Robinson,43,"40s",New comer,1,1,1,2320,2013-01-06,4,0,2320.00,0
AW00011156,157,Maria Roberts,43,"40s",New comer,1,4,4,2390,2013-01-08,4,0,2390.00,0
AW00011157,158,Hannah Long,44,"40s",New comer,2,3,3,41,2013-09-11,8,1,20.50,41.00
AW00011158,159,Jason Wright,44,"40s",New comer,1,3,3,2396,2013-01-19,3,0,2396.00,0
AW00011159,160,Brianna Hughes,44,"40s",New comer,2,4,5,48,2013-11-07,6,1,24.00,48.00
AW00011160,161,Maurice Tang,45,"40s",New comer,1,2,2,2322,2013-02-21,2,0,2322.00,0
AW00011161,162,Emily Wood,45,"40s",New comer,2,6,6,94,2013-11-11,6,5,47.00,18.80
AW00011162,163,Chase Cox,45,"40s",New comer,1,2,2,2330,2013-02-18,2,0,2330.00,0
AW00011163,164,Gabriel Wang,44,"40s",New comer,2,4,4,46,2013-08-05,9,3,23.00,15.33
AW00011164,165,Devin Brooks,45,"40s",New comer,2,6,6,145,2013-08-05,9,3,72.50,48.33
AW00011165,166,Jocelyn Alexander,46,"40s",New comer,2,3,3,103,2013-06-05,11,0,51.50,0
AW00011166,167,Ashley Martinez,47,"40s",New comer,2,5,5,88,2013-12-06,5,1,44.00,88.00
AW00011167,168,Jasmine Barnes,47,"40s",New comer,2,4,4,3126,2013-11-28,5,10,1563.00,312.60
AW00011168,169,David Rodriguez,51,"50+",New comer,2,7,7,3136,2013-11-16,5,10,1568.00,313.60
AW00011169,170,Bryce Richardson,51,"50+",New comer,2,5,5,81,2013-09-24,7,3,40.50,27.00
AW00011170,171,Carol Howard,51,"50+",New comer,2,7,7,157,2013-12-29,4,4,78.50,39.25
AW00011171,172,Jonathan Hill,46,"40s",VIP,3,8,8,6716,2013-11-07,6,26,2238.67,258.31
AW00011172,173,Gabrielle Adams,51,"50+",New comer,2,6,7,129,2014-01-11,4,8,64.50,16.13
AW00011173,174,Sarah Thomas,52,"50+",New comer,2,3,3,103,2013-12-24,4,9,51.50,11.44
AW00011174,175,Nicholas Robinson,52,"50+",New comer,2,4,5,48,2013-07-25,9,0,24.00,0
AW00011175,176,Luis Wang,56,"50+",VIP,3,8,8,6710,2013-11-03,6,26,2236.67,258.08
AW00011176,177,Mason Roberts,46,"40s",New comer,28,27,60,1317,2014-01-27,3,11,47.04,119.73
AW00011177,178,Jose Flores,77,"50+",New comer,2,6,6,135,2013-10-14,6,6,67.50,22.50
AW00011178,179,Nathan Johnson,70,"50+",New comer,2,6,6,145,2013-05-26,11,3,72.50,48.33
AW00011179,180,Molly Rodriguez,65,"50+",New comer,2,6,6,125,2014-01-09,4,9,62.50,13.89
AW00011180,181,April Anand,76,"50+",New comer,2,6,6,138,2013-09-25,7,6,69.00,23.00
AW00011181,182,Devin Martin,65,"50+",New comer,2,3,3,41,2013-07-11,10,2,20.50,20.50
AW00011182,183,Stephanie Torres,75,"50+",New comer,2,5,5,81,2014-01-05,4,4,40.50,20.25
AW00011183,184,Jasmine Lee,75,"50+",New comer,2,4,4,46,2013-06-13,10,1,23.00,46.00
AW00011184,185,Meghan Hernandez,69,"50+",New comer,2,5,5,68,2013-10-09,7,1,34.00,68.00
AW00011185,186,Ashley Henderson,75,"50+",New comer,27,29,68,1616,2014-01-26,3,11,59.85,146.91
AW00011186,187,Sarah Price,75,"50+",New comer,2,3,3,41,2014-01-07,4,2,20.50,20.50
AW00011187,188,Jennifer Cooper,75,"50+",New comer,2,4,4,108,2013-08-06,9,4,54.00,27.00
AW00011188,189,Catherine Morris,75,"50+",New comer,2,5,5,81,2014-01-21,3,2,40.50,40.50
AW00011189,190,Lawrence Blanco,75,"50+",VIP,2,6,6,5944,2013-02-05,3,17,2972.00,349.65
AW00011190,191,Carson Bryant,75,"50+",New comer,2,4,4,46,2014-01-16,3,4,23.00,11.50
AW00011191,192,Kristi Perez,73,"50+",VIP,3,7,7,6743,2013-11-06,6,26,2247.67,259.35
AW00011192,193,James Brown,74,"50+",New comer,2,5,5,114,2013-09-25,7,3,57.00,38.00
AW00011193,194,Ian Gray,74,"50+",New comer,2,3,3,41,2013-08-18,8,5,20.50,8.20
AW00011194,195,Jacqueline Price,74,"50+",New comer,2,6,6,105,2013-12-08,5,8,52.50,13.13
AW00011195,196,Megan Henderson,73,"50+",New comer,2,6,6,105,2013-10-22,6,6,52.50,17.50
AW00011196,197,Alfredo Romero,73,"50+",New comer,2,4,4,162,2013-09-24,7,6,81.00,27.00
AW00011197,198,Andrea Morris,73,"50+",New comer,2,5,6,207,2013-07-20,9,2,103.50,103.50
AW00011198,199,Brooke Sanders,72,"50+",New comer,2,4,4,98,2013-02-13,2,0,49.00,0
AW00011199,200,Jacqueline Bennett,67,"50+",New comer,2,6,6,132,2013-10-17,6,6,66.00,22.00
AW00011200,201,Jason Griffin,71,"50+",New comer,27,26,55,1461,2014-01-20,3,11,54.11,132.82
AW00011201,202,Amanda Foster,72,"50+",New comer,2,6,6,181,2013-09-09,8,2,90.50,90.50
AW00011202,203,Alexia Price,66,"50+",New comer,2,3,3,74,2013-09-21,7,0,37.00,0
AW00011203,204,Luis Diaz,65,"50+",New comer,17,19,32,800,2013-12-11,5,9,47.06,88.89
AW00011204,205,Destiny Rivera,71,"50+",New comer,2,4,4,77,2013-11-10,6,3,38.50,25.67
AW00011205,206,Abby Fernandez,71,"50+",New comer,2,2,2,37,2013-10-08,7,2,18.50,18.50
AW00011206,207,Blake Flores,71,"50+",New comer,2,4,4,77,2013-05-30,11,0,38.50,0
AW00011207,208,Danielle Cox,71,"50+",New comer,2,4,4,77,2013-10-18,6,8,38.50,9.63
AW00011208,209,Maria Reed,71,"50+",New comer,2,7,7,134,2013-09-17,7,6,67.00,22.33
AW00011209,210,Allison Evans,71,"50+",New comer,2,2,2,37,2014-01-22,3,9,18.50,4.11
AW00011210,211,Edward Wood,71,"50+",New comer,2,5,5,70,2013-09-06,8,4,35.00,17.50
AW00011211,212,Samantha Russell,64,"50+",New comer,17,22,33,792,2014-01-07,4,11,46.59,72.00
AW00011212,213,Chloe Campbell,70,"50+",New comer,17,20,33,824,2014-01-17,3,11,48.47,74.91
AW00011213,214,Stephanie Murphy,70,"50+",New comer,2,4,4,77,2013-09-09,8,5,38.50,15.40
AW00011214,215,Charles Miller,70,"50+",New comer,2,4,4,162,2013-11-19,5,3,81.00,54.00
AW00011215,216,Ana Perry,63,"50+",New comer,17,21,32,1154,2013-12-15,4,10,67.88,115.40
AW00011216,217,Jasmine Torres,69,"50+",VIP,2,5,5,5948,2013-02-05,3,17,2974.00,349.88
AW00011217,218,Natalie Adams,69,"50+",VIP,2,3,3,5953,2013-02-14,2,18,2976.50,330.72
AW00011218,219,Olivia Brown,63,"50+",New comer,2,2,3,39,2014-01-04,4,10,19.50,3.90
AW00011219,220,Charles Cook,68,"50+",New comer,2,2,3,39,2014-01-24,3,2,19.50,19.50
AW00011220,221,Erica Huang,64,"50+",New comer,2,4,4,50,2013-12-13,4,8,25.00,6.25
AW00011221,222,Nathan Perry,69,"50+",New comer,2,4,4,46,2013-10-17,6,6,23.00,7.67
AW00011222,223,Alexandra Rivera,69,"50+",New comer,2,6,6,208,2013-11-28,5,0,104.00,0
AW00011223,224,Hailey Patterson,68,"50+",New comer,27,26,65,1193,2014-01-06,4,11,44.19,108.45
AW00011224,225,Tiffany Li,68,"50+",VIP,3,5,5,6685,2013-12-03,5,27,2228.33,247.59
AW00011225,226,Madison Lee,63,"50+",New comer,2,5,5,73,2013-09-06,8,2,36.50,36.50
AW00011226,227,Sydney Ross,62,"50+",New comer,2,2,2,37,2013-03-31,1,1,18.50,37.00
AW00011227,228,Marshall Chavez,62,"50+",VIP,2,5,5,5910,2013-02-10,3,18,2955.00,328.33
AW00011228,229,Ashley Jones,68,"50+",New comer,2,4,4,77,2014-01-17,3,2,38.50,38.50
AW00011229,230,Adrian Stewart,67,"50+",New comer,2,5,5,81,2014-01-25,3,5,40.50,16.20
AW00011230,231,Amber Turner,68,"50+",New comer,2,5,5,54,2013-12-09,5,4,27.00,13.50
AW00011231,232,Dennis Zhang,61,"50+",New comer,2,4,4,64,2013-11-12,6,9,32.00,7.11
AW00011232,233,Hailey Bryant,67,"50+",New comer,2,2,3,39,2013-11-13,5,1,19.50,39.00
AW00011233,234,Todd Li,61,"50+",New comer,2,7,7,179,2013-06-08,11,4,89.50,44.75
AW00011234,235,Anna Griffin,66,"50+",New comer,2,4,4,76,2013-09-19,7,7,38.00,10.86
AW00011235,236,Angel Stewart,67,"50+",New comer,2,5,6,138,2014-01-05,4,6,69.00,23.00
AW00011236,237,Jeremy Butler,67,"50+",New comer,2,5,5,114,2014-01-06,4,3,57.00,38.00
AW00011237,238,Clarence Anand,61,"50+",VIP,4,6,6,10566,2013-11-25,5,26,2641.50,406.38
AW00011238,239,Mayra Prasad,61,"50+",VIP,4,9,9,7543,2013-04-30,0,27,1885.75,279.37
AW00011239,240,Latoya Goel,55,"50+",VIP,4,11,11,7511,2013-05-28,11,28,1877.75,268.25
AW00011240,241,Anne Hernandez,60,"50+",VIP,4,10,13,7586,2013-05-13,11,26,1896.50,291.77
AW00011241,242,Lisa Cai,51,"50+",VIP,7,20,25,11468,2013-10-29,6,13,1638.29,882.15
AW00011242,243,Larry Munoz,62,"50+",VIP,7,12,12,11067,2013-12-04,5,14,1581.00,790.50
AW00011243,244,Robin Alvarez,62,"50+",VIP,4,10,12,7164,2013-06-09,11,27,1791.00,265.33
AW00011244,245,Alexis Coleman,56,"50+",VIP,4,11,12,7175,2013-07-19,9,29,1793.75,247.41
AW00011245,246,Ricky Vazquez,63,"50+",VIP,4,9,9,10580,2013-12-11,5,26,2645.00,406.92
AW00011246,247,Latasha Rubio,63,"50+",VIP,4,7,7,10575,2013-12-20,4,26,2643.75,406.73
AW00011247,248,Claudia Zhou,63,"50+",VIP,4,11,12,7131,2013-08-17,8,29,1782.75,245.90
AW00011248,249,Tristan Alexander,59,"50+",New comer,1,3,3,38,2013-07-14,9,0,38.00,0
AW00011249,250,Cindy Patel,58,"50+",VIP,4,11,11,9890,2013-09-15,7,23,2472.50,430.00
AW00011250,251,Shannon Liu,59,"50+",VIP,4,10,11,7115,2013-08-06,9,28,1778.75,254.11
AW00011251,252,Xavier Long,87,"50+",New comer,1,4,4,2319,2013-10-18,6,0,2319.00,0
AW00011252,253,Nicholas Thompson,87,"50+",VIP,3,7,7,6685,2013-12-18,4,28,2228.33,238.75
AW00011253,254,José Hernandez,75,"50+",New comer,16,16,30,695,2013-12-03,5,9,43.44,77.22
AW00011254,255,Johnathan Vance,86,"50+",New comer,2,9,9,204,2013-12-14,4,0,102.00,0
AW00011255,256,Colin Lin,86,"50+",New comer,2,5,5,114,2013-03-31,1,1,57.00,114.00
